시군구코드,지정년도,지정번호,신청일자,지정일자,업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명,급수시설구분,소재지전화번호
3220000,2014,160,20141006,20141006,이도곰탕,"서울특별시 강남구 논현로94길 29-5, 지상1층,지상2층 (역삼동)",서울특별시 강남구 역삼동  671번지 17호,한식,곰탕,역삼1동,상수도전용,02 5010738
3220000,2021,139,20181001,20211116,솥내음 스타필드 코엑스몰점,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 O-107호 (삼성동)",서울특별시 강남구 삼성동  159번지  코엑스,한식,직화불백,삼성1동,,
3220000,2010,24,20100210,20100210,스시히로바,"서울특별시 강남구 삼성로 620, 블래스톤리조트 지상1층 (삼성동)",서울특별시 강남구 삼성동  70번지  블래스톤리조트,일식,초밥,삼성1동,상수도전용,02 5155511
3220000,2016,89,20161125,20161125,서백자 간장게장,"서울특별시 강남구 삼성로 542, 지상2층 (삼성동, 석천빌딩)",서울특별시 강남구 삼성동  151번지 4호  석천빌딩 2층,중국식,간장게장,삼성1동,,02  34536008
3220000,2016,84,20161125,20161125,주)봉산집,"서울특별시 강남구 삼성로 564, 지상2층,지상3층 (삼성동)",서울특별시 강남구 삼성동  145번지 19호,한식,차돌박이,삼성1동,,
3220000,2016,76,20161125,20161125,더드림,"서울특별시 강남구 선릉로 518, 지하1층 (삼성동)",서울특별시 강남구 삼성동  140번지 25호,한식,김치찌개,삼성1동,,02  536 8153
3220000,2019,368,20191128,20190930,국민한우집 삼성역점(구 칠프로칠백식당 포스코점),"서울특별시 강남구 테헤란로82길 11, (대치동)",서울특별시 강남구 대치동  942번지 13호,경양식,칠백한우동,대치2동,상수도전용,02555 5245
3220000,2010,25,20100210,20100210,이즈미,"서울특별시 강남구 언주로 857, 지상1층 (신사동)",서울특별시 강남구 신사동  621번지 3호,한식,회,신사동,상수도전용,02 5110107
3220000,2014,18,20141006,20141006,홍영재 장수 청국장,"서울특별시 강남구 영동대로 424, 지상1층 (대치동)",서울특별시 강남구 대치동  1001번지  지상1층,한식,청국장,대치2동,,
